song.id,title,artist.name,year
SOFDTRZ12AB018DD11,Crawl Before You Ball (Album Version),Saafir,1999
SOOGNJP12A8C1381AD,Medicate Myself,The Verve Pipe,2001
SOFUBCP12A8C13D5EF,Biding Her Time,Bob Neuwirth,1990
SOVZBDR12A6702012E,More And More  (LP Version),Marvin Sapp,0
SOPWKSS12AC468E659,Cowboy Ways,James Hunter,0
SOCCQIQ12A8C13C76B,Brasas Vivas,Nelson Ned,0
SODBMZD12A8C134232,Kolomeyke,Mish Mash,0
SOBUWPY12A8C1446C0,In This Life,Cama,2009
SORWXUP12A58A79E65,Groovin' In The Midnight,Maxi Priest,1991
SOJEVZW12A8C133988,Waiting,Porcupine Tree,1997
SOOODKC12AB018462F,A'chek Ouyounik (2009 Digital Remaster),Ragheb Alama,0
SODOLVO12B0B80B2F4,Hell,Foo Fighters,2005
SOEHWGF12A6D4F8B2B,Hips Don't Lie (featuring Wyclef Jean),Shakira Featuring Wyclef Jean,0
SOOZLTC12A6D4FBE91,Juoksuhauta-twist (ElA$?mA$? juoksuhaudoissa),The Avengers,0
SOOSYMY12AB01888CD,I Got Over It (Album Version),Robben Ford,1988
SOPBKEB12A6D4FD777,One Less Bell To Answer,Brazilian Tropical Orchestra,0
SOEWQYW12AB0183FDE,Festa,Gil Semedo,0
SOFBQIA12AB0182219,Te Hacen Falta Vitaminas,Soda Stereo,1984
SOHDDHR12AB0183552,Sense And Trick,Xmilk,0
SONWQQX12AC3DF6762,Fire (Oscar G Space Vocal Mix),Dolce; Oscar G.,0
SOGXFIF12A58A78CC4,Hanging On (Medium Key Performance Track Without Background Vocals),Britt Nicole,0
SOIPNSZ12A8C144128,Grim Prospects (Version 2 Remix),Schizoid,0
SOEXSIN12A8C133B0A,Christmas In Jamaica,Toni Braxton Featuring Shaggy,2001
SOTSMNJ12AB018365E,Gossippo Perpetuo,Perrey And Kingsley,2001
SOLGRUN12A8C140543,2190 Dias Contigo,Sven Tasnadi,0
SOQCHGV12AC4688FC6,No Control,Eddie,0
SOXCWTT12AC9075756,The Vitalized Shell,Enthroned,2010
SOAFIPD12A8C13A261,Mozart,Suzanne Ciani,1989
SOMJPML12A8C13D74E,Ciao Milan,Milan Band,0
SOCVDYI12AC4687DDB,Lend Me Your Chopper,Johnny Osbourne,2004
SOEVGMZ12A8C1421B5,Letter To Heaven,Dolly Parton,1971
SOCGURJ12AB0182AEE,Heaven is Where The Heart Is,Rance Allen Group,0
SOHTWLT12A8C13CFE1,Inside Job,Pearl Jam,2006
SOVQZYP12A8C144692,Take A Look  (LP Version),Natalie Cole,0
SOHHANU12A58A77C66,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),Mastodon,2009
SOTHWPG12AB018C90E,Bulgarian Dream,Kiril Valeri,0
SOOQHNV12AB0186CD4,Amalgama,Word,0
SOSGXRU12AAF3B2B07,Born and Raised In Compton,DJ Quik,1991
SOFRUDU12A8C13A40C,We're Gonna Go Fishin',Hank Locklin,0
SONXLQQ12AB0184B54,Robbers Kill Cop,BT,0
SOKPHVH12AB0187460,Relax,2-4 Grooves feat. Reki D.,2009
SOIUGDX12A6D4FDECA,Sweet By And By,The Jordanaires,0
SOAYYDM12AB01817E6,Orgofart,Descendents,1986
SORAJXA12A58A7A4C9,Bitch Is Back,L.A. Guns,1988
SODJUNF12A8C13337F,Naked Albino,Bare Jr.,1998
SOVDDWO12A6D4F9A78,Johnny Loves Me (LP Version),Shelley Fabares,0
SOFGQAP12AB0185946,Dearly Beloved,Norrie Paramor,0
SORGLCR12AB0184B69,The Look Of Love,Gary Hobbs,0
SOLBIIE12AB0184DFC,Cooler Than You,Diesel Boy,1998
SORHOEV12A81C20F71,Taryns Deepest Fear,Angelo Badalamenti,0
SOFPYXC12A58A7A4B9,Summer Dying Fast,Cradle Of Filth,1994
SOFQGCQ12AB0183609,Still,Jim Chappell,0
SOEBDBO12AC4688712,Snapshot,Ladybug,0
SONIQSB12AB0189829,End Of The Road (Head Hornys Remix),Bandido,0
SOYNEII12AB0181DB6,7 Miles,Brixx,0
SOKIGWD12A6701DE9D,The Frail,Nine Inch Nails,1999
SOHXKAN12AC46872F1,Para Milladoiro,Susana Seivane,2010
SOQZHMH12A8C13A393,Stone Cold Fingers (Bonus Track),Leland Martin,0
SOLEYPL12A6D4F83CE,Snowball,Test Icicles,2005
SOZFCNC12A6D4F76F3,(We Don't Need This) Fascist Groove Thang,Heaven 17,1981
SOPUQFS12A8C13DE1E,Drunk Alone,React,0
SOPNRDT12AB018A2D8,Charisma,Sven Tasnadi,0
SOGTLVU12A8AE47D5D,Going Down Slow,Mance Lipscomb,2000
SOXNMDZ12A6D4FA20D,All Rise,Scott Wesley Brown,0
SOGOJBW12AB018513B,Jogo Limpo,FlA!vio JosA(c),0
SONNOCP12A8C145220,Silent Hill,Moss,2009
SOUDHTP12AB0183403,Our Love Is Here To Stay,Pery Ribeiro,0
SOWDEPU12A8C137B14,Everything Changes,Soular,0
SOJBYGW12A8C13A497,Master Of Disharmony,Dimmu Borgir,1996
SOQDTQP12A6D4F793F,(This Is Not A) Love Song (Live),Public Image Ltd,1983
SOJHKYL12A6D4FA0AC,What Are We Here For,Gary Moore,1997
SOJVWBA12AB018C326,Une petite pause,Pascal Sangla,2010
SONRSQW12A6D4F6D1C,Wig,The B-52's,1986
SONTBYD12A58A77A29,Perasmena Mesanihta,Dakis,0
SOMKMPB12A8C1447D0,God Save the Queen (Live),Sex Pistols,1988
SOSGQPS12A8AE48538,Forever,Chris Brown,0
SOKENJQ12AB017EC8C,Sun Is Shining,Deekline & Wizard,2004
SOBNTXB12A8C1428BA,New Age,Daniela DessA!,0
SOIKIJC12AC3DFB3D2,Have Yourself A Merry Little Christmas,Hem,2005
SOFJNQR12A6D4FAE92,U Killed It,Lily Allen,2006
SOGDFIT12AB018528B,Rain And Snow,Pentangle,0
SOOIZTH12AB018C12E,Gerra De De,DJ Dips,0
SOQPJUL12AB0189379,Kako mi je pitas sad,Ana Bekuta,0
SOMBQEO12A8C135018,Voices On The Corner,Jason Miles,0
SOCQWKZ12A8C13CE4C,(Bloody Paw On The) Kill Floor,Busdriver,2007
SONETAN12A58A7ACEB,I Wish My Mother Was Here,Byther Smith,1989
SOKEXTF12A8C13AE7E,Inolvidable,Bebo & Cigala,2003
SOUJISW12CF4E09416,Miracle,Bizarre Inc,1996
SOJKDKH12A58A761A2,Witch Weed (Live),Bongzilla,1999
SOTWWBZ12AB01845E0,Not Buried Deep Enough,The Gone Jackals,1995
SOKZTUH12AB018B938,Give Me 40 Acres (To Turn This Rig Around),The Willis Brothers,0
SOQDTZG12A8C1442E3,Ernesto Nazareth,Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,0
SOIFOLA12AB017CDA1,The Cube (Live),S.U.P,2001
SOKHVZO12AB0184C4D,Get Back Down,Boogie Pimps,0
SOMISOP12AC468D9D5,Battle Of The Rosebud / Cries,Brian Keane,0
SOOZKNQ12A6D4F6FD4,Beyond the Light,Aberdeen,0
SOGOQGE12AB0182907,Spaceman,The Killers,2008
SOWTIDJ12AB018808C,Pulecenella 'e mA2,Gloriana,0
SONIHLC12AB0187B0C,Iskorosten' (instr.),Butterfly Temple,0
SOLBHCO12AB018769A,Big Stax/High Volts (Album Version),Grant Geissman,0
SOVZVPT12AB018A59E,It Goes On,20/20,0
SOZWDHS12AB0188A33,Pecado De Amor,JosA(c) Augusto,0
SOFSKON12A8C13B3B5,Illuminate,Orbital,2001
SOBOCAG12A6BD55D56,Never Forget Me,Bone Thugs-N-Harmony / Akon,2007
SONCYFS12A8C14261E,Ukkosenjumalan poika,Moonsorrow,2001
SOTNBNN12A6D4F6CC7,A B***** Is A B***** (Edited),N.W.A.,1989
SOXZLDX12A58A7CE52,Kick Out The Jams,Rage Against The Machine,2000
SOEESQT12A8C13C7D5,Me And My Buddy,Jazz Gillum,0
SOSKUNI12AB0187F12,Amber Changing,Rise Against,2003
SOSLFMU12AB018FFEA,Murder Academy,Ultraviolence,1995
SOOKISK12AB0180667,Hey Daddy,Korn,1999
SOVGBEK12A8C134E04,4 Sea Interludes Op. 33a: Storm,Sir Neville Marriner,0
SORJOMF12AB0186F78,I Need You Now,Agnes,0
SOVTGXQ12A6D4FB9CA,Atmosphere Station,James Horner,1986
SOLKTEK12AB018BE1A,Walk Away,Tantric,2009
SODYZIU12A8C13FBD9,Shadows That Move,Mastodon,2001
SOJRCDU12AB0189D27,Smile,Xcultures,2000
SOBMHTY12AC9097B7C,Mountains Of Mourne,The Irish Tenors,0
SOZWHVZ12A6D4F90E7,Kite Live from Sydney,U2,2007
SOQAHUW12AB0181F04,Loco (Crazy),Little Joe,0
SOVHRBI12A81C22E02,Ever Be,Korn,2007
SOHULHF12AB017F6CF,Oh Look Misery,Blind Blake & The Royal Victoria Hotel Calypsos,0
SOFWWGY12AB0185BC5,Yesterdays,Percy Faith,0
SOEETVW12A6D4F93B8,Teacher's Pet,Extreme,0
SOJTIKK12A8C13B15E,Palmer enquAate,Alexandre Desplat,2004
SOQBQWN12AB0186782,Go To Hell,Prozak,0
SOKLQWF12A8C1423F2,Moon River - Original,Jerry Butler,0
SORQLMX12A8C133FCD,La Plus Bath Des Javas,Yvette Horner,0
SOCLQKJ12AF72A4AB0,Infidel,Delta 9,0
SODWXQV12A6310F10D,English Summer Rain,Placebo,2003
SORKRKK12A8C13C12F,Spanish Shuffle (Album Version),Tam Tam Go!,0
SOQPPKZ12A58A7B1EC,Intro,Gertrudis,2009
SOXSUNF12A8C134195,Empress So Divine,Warrior King,2002
SOVRJYX12AB01844E1,Terapia De Amor Intensiva,Soda Stereo,1988
SOMOHEI12AB018785F,Haunting,LORE,0
SOOGRLD12A8C132B2F,Lies Of Hate,Soul Asylum,1998
SODAEVD12AB01886BB,The First Noel,Carl Doy with NZSO,0
SOAESJW12A8C137CC2,Musical Episode,Horace Andy,2005
SOHCYVK12AB017BBF2,Beautiful Brown eyes,Jimmy Wakely,2001
SOCWXYM12AB018BDF3,Drop the Bass,The Nightraver & The Magican,0
SOSYVIZ12A8C141964,The Last Word (Amended Version),Rah Digga (Featuring Outsidaz),2000
SOTVEKK12A8C1392E1,Hard Times,RUN-DMC,1984
SOHGAJH12A6D4F8F58,Just As Much As Ever,Bert Kaempfert And His Orchestra,0
SOCTSJA12AC9618325,Filipino Baby,Hank Locklin,0
SOTYCYE12AC468AA08,The Boss,Lady May,0
SOAKXET12CF5F86E71,Escapist,Nightwish,2007
SOYDHCW12A6D4F9A2E,Jeffrey's Dark Side,Angelo Badalamenti,1987
SOGBJSK12AB018D052,Someone to Watch Over Me,Frank Chacksfield,0
SOSTFTW12A8C13B84A,Milagre Dos Peixes/ Musica Incidental: Cais/ Music Incidental: San Vicente,Cesar Camargo Mariano/Helio Delmiro,0
SOLHFZF12AB018AB3E,Pinned To The Ground (album version),Buzzhorn,2002
SOZEHMC12A6D4F9F30,Always And Never (Album Version),Silverstein,2005
SOYHNTG12A6D4F5703,Myth Takes,!!!,2007
SOGBRIU12A582A214C,Carpe PM,The Secret Life of Teenage Girls,0
SOLCPEB12A58A7BF47,Who Shot Ya (Amended Album Version),The Notorious B.I.G.,2007
SOFOGMR12A8C140FFF,Poor Tom (Album Version),Led Zeppelin,1982
SOBJYXZ12A8AE45FF1,Wounded Hearts,Sandi Thom,2008
SOGJSEF12AB01847D4,Love's Been Good To Me,Carl Belew,0
SOCVGQS12A8C13D7DF,When Morning Comes To Town,The Field Mice,1989
SOGVRHK12A8AE47FFB,Estate,Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,0
SOGGYSM12A58A79111,Freedom Enough (From Silent Mother Nature),Catherine Howe,0
SOHCENZ12A8C13AC85,Hai Shava,Malkit Singh,1993
SOIKVVS12AB0184063,Nutty Block,Rodney O & Joe Cooley,1991
SOYCTBG12A8C144341,Until You Love Someone,Dean Martin,2005
SOMCCPJ12A8C142B6B,Part One From Triomusic,Strata,2004
SOVKCDB12A6D4FB2AB,Hello Young Lovers (LP Version),James Darren,0
SOONOZL12A6D4FC475,Same Man,Till West & DJ Delicious,2006
SOIHZMH12AB017DF93,Quiero Ir Ao Mar,Carlos NuA+-ez,2005
SOCQJBX12AF72AA6F2,The Owl and the Pussy-cat,Igor Stravinsky,0
SOMWLCK12A8C135D69,Set You Free This Time,Gene Clark,1998
SORHXYU12A8C13716B,Bloco Da Solidao (1996 Digital Remaster),Maysa,0
SOEMLQO12AB01808B6,Will You Love Me Tomorrow,The Shirelles,1960
SOITEVV12A6D4F5969,Stille nacht_ heilige nacht,The American Boychoir,0
SOWNSZY12AB0180BCF,Nine Ways,JDS,0
SOQKKPE12A8C13C2CD,Northern Downpour (Album Version),Panic At The Disco,0
SORJXPY12AB0182839,Bad Seed,Jan Howard,0
SOIRGRL12AB0186BC2,Exchange,Abraham Laboriel,1995
SOEGTAN12A6D4F8726,Marie D'Aquitaine,"MichA""le Arnaud",0
SODTRPJ12A8C1377E9,Oh My God,Sticky Fingaz,2000
SOKPFTZ12A6D4FA141,Joy To The World,Dame Joan Sutherland / New Philharmonia Orchestra / Richard Bonynge,0
SOFVRCJ12AB018B4DA,Hoochie Coochie Man,The Jeff Healey Band,1989
SORWMLD12A8C137D1A,Ftei O Erotas,Angela Dimitriou,0
SOFHQCR12A8C138A74,The Second Summer Of Love,Danny Wilson,1989
SOCPGVG12AB018AA84,Prelude And Fugue In C Major BWV 531 : Fugue,Lionel Rogg,0
SOYUFEN12AB018BF99,Don't Phunk With My Heart,Java,0
SOLWQFA12AB01899E8,Give It What U Got,SWAMI featuring Asuivre,2007
SOAMXQV12AB018775F,Dancing To A Standstill,The Black Velvet Band,0
SOENDOQ12A8C139A41,Isla del Luna,Lisa Lynne,1999
SOWHAEF12A8C13EF0C,Spirit,Pe'z,0
SOTTXNS12AB0187861,Another Long One,Shawn Colvin,1989
SOXSLOL12AB0188039,Leng Jing,Stephy Tang,0
SOQLGFP12A58A7800E,OAKtown,Casual,0
SOPVXLX12A8C1402D5,Larger Than Life,Backstreet Boys,1999
SOAOIBZ12AB01815BE,I Hold Your Hand In Mine [Live At Royal Albert Hall],Tiny Tim,2000
SOZHPGD12A8C1394FE,Baby Come To Me,Kenny G featuring Daryl Hall,0
SOSLAVG12A8C13397F,Den Pai Alo,Christos Dantis,0
SOTTDKS12AB018D69B,It Wont Be Christmas,David Martin,0
SOMVWWT12A58A7AE05,Knocked Out Of The Park,John Davis,0
SOQVMXR12A81C21483,Salt In NYC,Trafik,0
SODUJBS12A8C132150,Wessex Loses a Bride,Nick Ingman;Gavyn Wright,0
SOBBXLX12A58A79DDA,Erica (2005 Digital Remaster),Eddie Calvert,0
SOTUKVB12AB0181477,Blessed Assurance,Glad,1993
SOOJPRH12A8C141995,Loaded Like A Gun,Steel Rain,0
SOBCOSW12A8C13D398,Rumba De Barcelona,Los Manolos,0
SOQOTLQ12AB01868D0,"Clementina SantafA""",Gloriana,0
SOBKWDJ12A8C13B2F3,Wild Rose (Back 2 Basics Mix),Bombay Rockers,0
SOFNOQK12AB01840FC,Kutt Free (DJ Volume Remix),Jinx,0
SOGVQGJ12AB017F169,Ten Tonne,Chase & Status,2005
SOFFKZS12AB017F194,A Higher Place (Album Version),Tom Petty,1994
SOBAYLL12A8C138AF9,Sono andati? Fingevo di dormire,Montserrat CaballA(c);Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti,0
SOLEYHO12AB0188A85,Got My Mojo Workin,Pucho & His Latin Soul Brothers,0
SOPEGZN12AB0181B3D,Get Your Head Stuck On Your Neck,Soul Mekanik,0
SOXILUQ12A58A7C72A,Jenny Take a Ride,Mitch Ryder,2004
SOTCKKY12AB018A141,Sonnerie lalaleulA(c) hi houuu,Blingtones,0
SOSWKAV12AB018FC91,Midnight Star,Luna Orbit Project,0
SONSKXP12A8C13A2C9,Native Soul,Danilo Perez,2003
SOUPIRU12A6D4FA1E1,Der Kleine Dompfaff,Line Renaud,0
SODREIN12A58A7F2E5,A Whiter Shade Of Pale (Live @ Fillmore West),King Curtis,0
SONWXQJ12A8C134D94,The Ballad Of Sleeping Beauty,Sophie B. Hawkins,1994
SOWQTQZ12A58A7B63E,Streets On Fire (Explicit Album Version),Lupe Fiasco,0
SOLYIBD12A8C135045,Music is what we love,Wilks,0
SOINLJW12A8C13314C,City Slickers,Marc Shaiman,2008
SOGDBUF12A8C140FAA,Intro,40 Grit,2003
SORRZGD12A6310DBC3,Harajuku Girls,Gwen Stefani,2004
SODAUVL12A8C13D184,Prognosis,Steve Morse,2000
SOFCHDR12AB01866EF,Living Hell,Bitter End,0
SOHUTDD12AB018A94F,Small World,Ethel Merman,0
SOHNDEQ12A6D4F9FBE,Truck Driving Man/Down In The Caribbean,Leon Russell & New Grass Revival,0
SOLCALW12A8C132870,Swallow The Knife (Live) (Segue),Story Of The Year,2005
SOPOIQJ12A6701C8CF,Mayday,Natural Elements,1998
SOUMWOQ12A8C13A949,Lake Of Dreams,Lisa Lynne,1998
SOIUJEF12A8C13C878,Because Of You,Neil Sedaka,1999
SOXXFEW12AB017F2A8,Un Peu D'Amour Et D'AmitiA(c),Maurice Larcange,0
SOLUIMX12AB0189599,Rattlesnake!,A Static Lullaby,2008
SODLRRT12AB0189535,Disappeared,John Wesley_ John Wesley,0
SOCTPFZ12AAF3B45AE,DoppelgA$?nger [Qliphothic Phantasmagoria],Coph Nia,2000
SOPDILX12AF72AA3C2,Ain't No Love Ain't No Use (Love To Infinity Full Funk Mix),Tabu feat. Mitzib,0
SOMYOQU12A8C13C2B4,Ghost Town Rituals (Album Version),Nights Like These,2006
SOWETWO12A6D4FA5F3,Morning Glory,Oasis,0
SOFGVWR12A8C141D19,Rudolph The Red-Nosed Reindeer,John Davis & Emma Doyle,0
SOADEBB12A8C1345D9,Tomorrow Gone,Stew,2003
SORZLRP12AB017D68D,I don't Want to Be Alone Tonight,Jauida,0
SOMGTTY12AB0185986,Just A Little Lovin' (Will Go A Long Way),Eddy Arnold,1967
SOIKYMH12AB0186452,Shameless,All Time Low,2007
SOILUPR12AB0186FC1,And I Love You So,Brian Dullaghan,0
SOAXGUT12AB0184D53,L' Envers Du DA(c)cor,Richard Galliano,1999
SOWHNGE12A8C133D07,Quiet Time,Regina Belle,1993
SOLULNS12A8C13008E,Little Sister,Debbie Davies,1998
SOPMNJT12A8C13AC24,Song For Mom (LP Version),STEVE CAMP,0
